created_at,text,username
2021-12-08 21:58:27+00:00,"Kalau 2021 adalah sebuah film, inilah soundtrack saya. Kalau kamu? #SpotifyWrapped \nhttps://t.co/blnPu6ZE2d'",Teddy Kusumawirawan
2021-12-08 19:35:57+00:00,"Terima kasih, @tool, karena telah menghabiskan 3.119 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/aRlkG0mxQd'",RM feraldi P
2021-12-08 19:12:01+00:00,"Terima kasih, Ian Munsick, karena telah menghabiskan 218 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/aoAeO7Pu1O'",젊은이들 (◜◡◝)
2021-12-08 18:26:45+00:00,"b""here's my #SpotifyWrapped 2021. menghabiskan waktu dengerin C.H.R.I.S.Y.E karna wktu itu tau lagunya dari si dia yg skr jd sialan\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbb https://t.co/iq3MsVgTXi""",mina
2021-12-08 17:58:00+00:00,"Terima kasih, @brunomars, karena telah menghabiskan 2.549 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/GKnvPBTnqr'",Lia Suciati
2021-12-08 16:25:30+00:00,"Terima kasih, @bts_bighit, karena telah menghabiskan 6.599 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/NFt3L0U7hh'",K i k i 🐿🌻
2021-12-08 15:29:25+00:00,"Terima kasih, IU, karena telah menghabiskan 546 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/wyshCWiMrh'",Zulvia Alamanda
2021-12-08 15:12:46+00:00,"Terima kasih, AKMU, karena telah menghabiskan 693 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped @official_akmu https://t.co/RbwoX6zq7X'",🍀RK 𓆩♡𓆪 🦁🍀
2021-12-08 15:11:51+00:00,"Terima kasih, fromis_9, karena telah menghabiskan 368 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/OFBIvoeww1'",kajosa ☎ ⚡
2021-12-08 14:40:08+00:00,"Terima kasih, @day6official,  telah menghabiskan 911 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/OXf8WNP0G5'",vjée
2021-12-08 14:33:02+00:00,"b""Terima kasih, IU, karena telah menghabiskan 5.502 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya.\nlullaby it's a healing songs\xe2\x9d\xa4\xef\xb8\x8f @_IUofficial #SpotifyWrapped https://t.co/iYPNsBsOQk""",nona kapas
2021-12-08 13:17:13+00:00,Hai! Spotify dan Kelly Courtney lagi bikin yang seru-seru nih buat #SpotifyWrapped. Tungguin ya! https://t.co/g4NN0JReB1',Spotify Indonesia
2021-12-08 13:09:11+00:00,"Terima kasih, @nctsmtown_127, karena telah menghabiskan 3.367 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/WHQ6aNlC0l'",Jeje | fb yaaaa
2021-12-08 13:01:37+00:00,#SpotifyWrapped Sri Lankan moots YK your goal right? https://t.co/rKgqkzLp1x',Jana 💜⁷🐳|| uarmyhope || Stream SUPER TUNA🐟
2021-12-08 12:50:10+00:00,"Terima kasih, @weareoneexo, karena telah menghabiskan 5.804 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/88wlLPYV0n'",Siti Nur Fatimah
2021-12-08 12:14:32+00:00,Apa gue termasuk wibuu?? \n#SpotifyWrapped https://t.co/zurI1U2AdY',イタチくん。
2021-12-08 11:51:02+00:00,"Tau kan, kalo Spotify sama Sandy Saputra lagi bikin rencana seru buat #SpotifyWrapped? Tunggu aja ya! https://t.co/B7kJRVoK92'",Spotify Indonesia
2021-12-08 11:50:41+00:00,"Terima kasih, @oneokrock_japan, karena telah menghabiskan 86 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/VI17KkRFTZ'",b
2021-12-08 11:04:47+00:00,"Terima kasih, @bts_bighit @BTS_twt, karena telah menghabiskan 822 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/wNeKRMfrHP'",Pionna⁷
2021-12-08 10:51:22+00:00,"Terima kasih, DOYOUNG, karena telah menghabiskan 7.205 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/f1veIvROz6 \n#DOYOUNG #NCT\xeb\x8f\x84\xec\x98\x81'",DOYOUNG - KIMDYD02⚜️
2021-12-08 10:47:55+00:00,"Terima kasih, Afgan, karena telah menghabiskan 146 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/pqMsbwj6HC'",Maulina
2021-12-08 10:39:54+00:00,"Terima kasih, @taylorswift13, karena telah menghabiskan 186 menit bersama saya tahun ini di @Spotify. Kamu artis #1 saya. #SpotifyWrapped https://t.co/0MegxRvhWw'",Ayafyu
